Outlet Code,dependent,lag1,lag2,lag3,sfa1,sfa2,sfa3,Cluster,EatShop Score,BarpubScore,Business Score,Combined Score,M_Absence,M_Presence,KingSize Stores,Premium_Eatshop,Premium_BarsPubs,Premium_Eatingout,Premium_Shopping,Premium_Business,Total Barspubs,Total Eatshop,Total Eating Out,Total Shopping,Total Business,area_sqkm,Ambient population,Average meal cost per person(Rs),2k_catchment_Educational High-low,2k_catchment_Transporthub high-low,2k_catchment_Commercial high-low,2k_catchment_Residential high-low,Category,Area_Type,Distributor Point,Market Type,Premium Type,Action Index,Categorical M Reach Index,Categorical G Reach Index,Categorical C Reach Index,Categorical M Share Index,Categorical G Index,Categorical C Share Index,Categorical King Size Vol Index (Market),Categorical KingSize_PerStore_Index,Premium_Index_Eatshop,Premium_Index_Barpub,Premium_Index_eatingout,Premium_Index_Shopping,Premium_Index_Business,M Reach Index,G Reach Index,C Reach Index,M Share Index,G Share Index,C Share Index
DE002379,25,23,31,25,0.85,0.65,0.57,4,0,0,0,0,4,0,4,0,0,0,0,0,0,3,1,2,8,0.048626113,4456,0,High,High,High,Medium,place,neighbourhood,GGN 1,both,NP,Optimise Routes,Low,Mid,Low,Low,High,Low,Low,Low,NP,NP,NP,NP,NP,0,112.4023743,28.46518987,0,169.4447687,0
DE003542,32,13,31,25,0.1,0.49,0.22,4,1,1,0,2,5,3,8,9,1,4,5,0,3,64,38,26,297,0.166755271,1525,750,Low,Low,Medium,High,commerce,mall,GGN 2,both,P,Continue Service Better,Low,Low,Mid,Mid,High,High,High,Low,Low,Low,Low,Mid,NP,66.10730034,56.20118713,113.8607595,97.62477693,138.2669312,124.4153808
DE003851,29,23,31,25,0.1,0.49,0.22,4,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,2,25,0.013897878,840,837.5,Low,Low,Low,High,travel/tourism,hotel,GGN 2,busi,P,Increase your Reach,Low,Low,Low,Low,Low,Low,Low,Low,Low,NP,NP,Low,NP,0,0,0,0,0,0
DE004030,29,23,31,25,0.1,0.16,0.49,4,1,0,1,2,6,41,47,2,0,0,2,1,3,141,61,80,131,0.290297163,5144,400,High,High,High,Low,road,road,GGN 1,both,P,Continue Service Better,High,Mid,Mid,Mid,Mid,Mid,Low,Low,Low,NP,NP,Low,Low,153.7815214,110.0108344,111.4381901,80.28353366,98.84278173,105.4878471
DE006610,17,23,31,25,0.1,0.49,0.22,4,0,0,1,1,1,15,16,0,0,0,0,1,0,2,1,1,44,0.14357887,5527,229.1666667,Low,Medium,Low,Low,building,building,GGN 1,busi,P,Increase your Reach,High,Mid,Mid,High,Low,Mid,High,High,NP,NP,NP,NP,Low,165.2682509,112.4023743,113.8607595,171.5190407,77.96418259,98.67599766
LAN0026817,15,29,31,25,0.1,1.05,1.89,4,0,0,1,1,0,1,1,0,0,0,0,2,0,7,7,0,62,0.05015499,2360,925,High,Medium,Medium,Medium,place,neighbourhood,GGN 2,both,P,Continue Service Better,High,Mid,Mid,Mid,Mid,Mid,Mid,High,NP,NP,NP,NP,Low,176.2861342,112.4023743,113.8607595,115.2789201,95.58422849,92.73656886
LAN0027384,13,17,31,25,0.1,0.49,0.22,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0.004992324,9095,0,Low,Medium,Medium,Low,building,building,GGN 2,both,NP,Optimise Routes,High,Mid,Mid,Low,Low,Low,Low,Low,NP,NP,NP,NP,NP,176.2861342,112.4023743,113.8607595,0,0,0
LAN0030784,24,36,30,40,1.54,1.04,1.66,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0.015744696,8185,0,High,Medium,Medium,Low,place,neighbourhood,GGN 1,both,NP,Optimise Routes,Low,Low,Low,Low,Low,Low,Low,Low,NP,NP,NP,NP,NP,0,0,0,0,0,0
LAN0035059,26,23,31,25,1.2,1.32,1.99,4,1,0,1,2,4,32,36,1,0,0,1,1,0,38,19,19,37,0.125641457,8185,600,High,High,Medium,Low,place,village,GGN 1,both,P,Continue Service Better,High,Mid,Mid,High,Low,Mid,High,High,Low,NP,NP,Low,Low,156.698786,99.91322156,113.8607595,190.4054161,63.06854333,119.8348513
LAN0067919,26.5,18,39.5,37.25,0.14,0.93,2.13,4,1,1,0,2,5,3,8,9,1,4,5,0,3,64,38,26,297,0.166755271,1525,750,Low,Low,Medium,High,place,village,GGN 2,both,P,Continue Service Better,Low,Low,Mid,Mid,High,High,High,Low,Low,Low,Low,Mid,NP,66.10730034,56.20118713,113.8607595,97.62477693,138.2669312,124.4153808
LAN0067920,25.5,20,31.5,25,0.08,0.56,0.55,4,1,1,0,2,5,3,8,9,1,4,5,0,3,64,38,26,297,0.166755271,1525,750,Low,Low,Medium,High,road,road,GGN 2,both,P,Continue Service Better,Low,Low,Mid,Mid,High,High,High,Low,Low,Low,Low,Mid,NP,66.10730034,56.20118713,113.8607595,97.62477693,138.2669312,124.4153808
LAN0067923,16,33,30.5,30,0.06,0.27,0.42,4,1,0,1,2,10,9,19,10,0,8,2,2,3,65,44,21,194,0.216738118,1302,350,Low,Low,Medium,High,building,building,GGN 2,both,P,Increase your Reach,Mid,Mid,Low,Mid,Mid,Mid,High,High,Low,NP,Low,Low,Low,83.50395833,112.4023743,77.90473018,97.78478841,105.0967986,97.61406314
LAN0067929,27,20,35,44.5,0.39,0.13,0.02,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0.015744696,8185,0,High,Medium,Medium,Low,place,neighbourhood,GGN 1,both,NP,Optimise Routes,Low,Low,Low,Low,Low,Low,Low,Low,NP,NP,NP,NP,NP,0,0,0,0,0,0
